Rodada,Data,Horário,Info,Moção,Escalação Juízes
1,21/08/2024,19:00,-,"ECAQ governos, ao determinarem políticas habitacionais, devem priorizar fortemente o apoio aos inquilinos em detrimento dos proprietários de imóveis.",SDUFRJ; Senatus; SdDUFSC; GDO
2,29/08/2024,19:00,"as gravadoras controlam a produção musical, a promoção de artistas e o streaming. Eles influenciam o tipo de música criada e muitas vezes favorecem artistas solo em vez de grupos. A consolidação na indústria musical refere-se à fusão de gravadoras e conglomerados. Por exemplo, as ""Três Grandes"" (Universal, Sony, Warner) dominam o mercado, representando quase 70% da indústria musical global.",ECL a consolidação da indústria musical,Hermeneutica; SdDUFC; SDS; GDO
3,12/09/2024,20:00,"Um imposto global mínimo é proposta da OCDE, retomada pelo Governo Biden, que visa instituir uma taxação mínima para empresas, igual em todos os países e seus entes federativos. As especulações em torno do valor do imposto mínimo global são de 15%, o que seria um aumento em relação aos cerca de 13% que as empresas atualmente devem sobre os lucros no exterior. Os países que adotassem o sistema poderiam estabelecer as taxas fiscais corporativas que quiserem, mas uma empresa nacional que tenha parte de suas operações em um país estrangeiro teria que pagar ao seu governo de origem a diferença entre os impostos que pagou naquele país e a taxa mínima global.
O G7 é composto por EUA, Reino Unido, Japão, Itália, Alemanha, França,  Canadá e União Europeia.","Assumindo que seja possível, ECAQ os países do G7 deveriam aderir ao Imposto Global Mínimo.",SDP; Hermeneutica; SDS; SdDUFSC
4,18/09/2024,19:00,-,EC Espera que não exista vida inteligente fora da terra.,SDUFRJ; GDO; Senatus; SDP
5,02/10/2024,20:00,"Regimes híbridos são sistemas políticos que mesclam elementos democráticos e autocráticos de maneira significativa (ex.: Turquia, Hungria, Bangladesh).","Em regimes híbridos, Esta Casa, enquanto empresa de mídia independente, adotaria uma postura ativamente crítica contra o partido no poder, em vez de manter a imparcialidade.",SDS; Hermeneutica; SdDUFC; SdDUFSC
6,10/10/2024,20:00,-,"Esta casa prefere que organizações religiosas propaguem a ideia de que a fé em um poder superior não pode ser explicada pela lógica, em vez de tentarem explicá-la racionalmente",SdDUFC; SDP; SDUFRJ; GDO
7,16/10/2024,19:00,-,"Assumindo que exista tal tecnologia, Esta Casa prefere um mundo em que a memória da sociedade e todas as evidências do passado criminal de ex-condenados sejam apagadas após sua libertação da prisão.",Senatus; Hermeneutica; SDS; GDO
8,24/10/2024,19:00,"(1) Leis de Memória são regulamentações legais que governam como sociedades lembram e comemoram eventos históricos, especialmente aqueles considerados sensíveis ou traumáticos. Elas frequentemente determinam o que pode ser dito, ensinado ou representado sobre certos eventos históricos, como genocídios ou crimes de guerra. Exemplos incluem o Artigo 301 do Código Penal da Turquia, que proíbe insultos contra heróis turcos, assim como as leis da Europa Oriental que proíbem símbolos do comunismo.",(1) Esta Casa apoia o uso de Leis de Memória em estados pós-colonais. (2) EC se opõe à ascensão da desconfiança em instituições estatais,SDS; SDUFRJ; SdDUFC; SdDUFSC
9,30/10/2024,20:00,-,"Ao lidar com grupos historicamente desfavorecidos, EC prefere reparações econômicas (ex.: pagamentos diretos, investimentos comunitários, subsídios para negócios) em vez de reparações políticas (ex.: ações afirmativas, cotas no parlamento, concessão de controle autônomo sobre terras).",SdDUFC; GDO; SDUFRJ; SDP
10,07/11/2024,20:00,-,-,Senatus; Hermeneutica; SDP; SdDUFSC
11,13/11/2024,20:00,-,-,SDP; Hermeneutica; SDS; Senatus
12,14/11/2024,20:00,-,-,SDUFRJ; SdDUFC; SdDUFSC; Senatus
